osm_type,osm_id,name,category,lat,lon,occurrence_count,tag_addr:block,tag_addr:block_number,tag_addr:blocknumber,tag_addr:city,tag_addr:country,tag_addr:county,tag_addr:district,tag_addr:district:en,tag_addr:flats,tag_addr:floor,tag_addr:full,tag_addr:hamlet,tag_addr:housename,tag_addr:housenumber,tag_addr:housenumber_1,tag_addr:housing_estate,tag_addr:interpolation,tag_addr:kecamatan,tag_addr:kelurahan,tag_addr:km,tag_addr:level,tag_addr:neighborhood,tag_addr:neighbourhood,tag_addr:nib,tag_addr:parentstreet,tag_addr:place,tag_addr:plot,tag_addr:postcode,tag_addr:province,tag_addr:region,tag_addr:rt,tag_addr:rw,tag_addr:state,tag_addr:street,tag_addr:street:prefix,tag_addr:subdistrict,tag_addr:suburb,tag_addr:town,tag_addr:unit,tag_addr:village,tag_addr:ward
node,4111208489,ABUBA Steak,restaurant,-6.270211700000001,106.7395226,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bintaro Utama 3A,,,,,,,
node,13347980146,Abuba Steak - Cipete,restaurant,-6.278215800000001,106.80743600000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4370884499,Abuba Steik,restaurant,-6.150922100000001,106.8168663,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4235054329,Abunawas Restaurant,restaurant,-6.2005439,106.8528692,1,,,,"Kebon Manggis, Matraman, East Jakarta",,,,,,,,,,15,,,,,,,,,,,,,,10310,,,,,,Jalan Matraman Raya,,,,,,,
node,13911884042,Acaraki,cafe,-6.04757,106.696014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11993067926,Acaraki,restaurant,-6.3062849000000005,106.8402573,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9684466435,Accha Indian Soul Food,restaurant,-6.177537200000001,106.8055916,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8186171474,Accurate,,-6.231275200000001,106.6591849,1,,,,Tangerang Selatan,,,,,,,,,,Ruko The Element Blok B19 - B21,,,,,,,,,,,,,,15143,,,,,,Jalan Jalur Sutera,,,,,,,
node,2756802288,Ace Hardware,,-6.9149472,107.63390270000001,7,,,,Bandung,,,,,,,,,,296,,,,,,,,,,,,,,40271,,,,,,Jalan Jenderal Ahmad Yani,,,,,,,
node,4262227641,Ace Hardware - Kelapa Gading,,-6.1570518000000005,106.899071,1,,,,"Kelapa Gading, North Jakarta",,,,,,,,,,3-6,,,,,,,,,,,,,,14240,,,,,,"Jalan Boulevard Barat Raya, Blok XC - 9",,,,,,,
node,4262241317,Ace Hardware - Panglima Polim,,-6.250646700000001,106.797618,1,,,,Kebayoran Baru,,,,,,,,,,73,,,,,,,,,,,,,,12160,,,,,,Jl. Panglima Polim Raya,,,,,,,
node,4262243638,Ace Hardware - Permata Hijau,,-6.2213826,106.78428070000001,1,,,,"Kebayoran Lama, South Jakarta",,,,,,,,,,36-39,,,,,,,,,,,,,,12210,,,,,,Jalan Let. Jend. Soepono,,,,,,,
node,4262247094,Ace Hardware - Pluit Lakeside,,-6.1175933,106.78921930000001,1,,,,"Penjaringan, North Jakarta",,,,,,,,,,168,,,,,,,,,,,,,,14450,,,,,,Jl. Pluit Indah Raya,,,,,,,
node,3181086683,Ace Hardware Radio Dalam,,-6.2515594000000005,106.791618,1,,,,South Jakarta,,,,,,,,,,17,,,,,,,,,,,,,,12140,,,,,,Jl. Radio Dalam Raya,,,,,,,
node,3069732906,Aceh Jame Kupi,cafe,-6.2533985,106.842095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11993694658,Aci Huy Akang,restaurant,-6.584271500000001,106.8170764,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4691813090,Acing Noodle,restaurant,-6.1640880000000005,106.79543210000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12365589862,ACS CellComp,,-6.456582,106.80915750000001,1,,,,Bogor,,,Bogor,,,,,,Jl. kp. kelapa RT. 001 Rw. 019,90,,,,,,,,,,,,,,16920,jawa barat,,,,,,,Bojonggede,,,,,
node,9755217428,Acta Brasserie,restaurant,-6.216832,106.7973401,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
