district_cluster_id,city_code,city_name,district_code,district_name,unresolved_pattern,row_count,triplet_cluster_count,diskominfo_postal_values,open_data_jabar_postal_values,kodepos_dev_postal_values,example_village_codes,example_village_names
DIST-2CC3C23D9294,32.14,KAB. PURWAKARTA,32.14.13,BUNGURSARI,all_three_different,1,1,41182,46151,41181,32.14.13.2003,BUNGURSARI
DIST-514208849DC5,32.14,KAB. PURWAKARTA,32.14.15,SUKASARI,all_three_different,1,1,41167,45366,41116,32.14.15.2004,SUKASARI
DIST-986FF375E59B,32.16,KAB. BEKASI,32.16.09,CIKARANG UTARA,open_data_jabar_missing_api_diskominfo_different,1,1,17835,,17534,32.16.09.2009,HAJARMEKAR
DIST-AE22F13E615F,32.16,KAB. BEKASI,32.16.14,SUKAKARYA,all_three_different,1,1,17641,17646,17630,32.16.14.2006,SUKAKARSA
DIST-279A24D6F9FB,32.17,KAB. BANDUNG BARAT,32.17.05,CIPEUNDEUY,all_three_different,1,1,40758,41272,40558,32.17.05.2001,CIPEUNDEUY
DIST-6F6056B44F7B,32.17,KAB. BANDUNG BARAT,32.17.16,SAGULING,all_three_different,1,1,40764,40561,40560,32.17.16.2005,CIPANGERAN
DIST-4CA5D097D607,32.72,KOTA SUKABUMI,32.72.05,BAROS,all_three_different,1,1,43167,42173,43161,32.72.05.1001,BAROS
DIST-9F812F5030E3,32.72,KOTA SUKABUMI,32.72.05,BAROS,open_data_jabar_missing_api_diskominfo_different,1,1,43167,,43161,32.72.05.1004,SUDAJAYA HILIR
DIST-F3C58EA188CD,32.73,KOTA BANDUNG,32.73.23,RANCASARI,open_data_jabar_missing_api_diskominfo_different,1,1,40298,,40292,32.73.23.1004,MEKARMULYA
DIST-5187632352E0,32.73,KOTA BANDUNG,32.73.24,ARCAMANIK,open_data_jabar_missing_api_diskominfo_different,1,1,40399,,40293,32.73.24.1004,SINDANGLAYA/CISANTRE N ENDAH
DIST-8B5BA158EFF1,32.73,KOTA BANDUNG,32.73.27,GEDEBAGE,open_data_jabar_missing_api_diskominfo_different,1,1,40295,,40294,32.73.27.1001,CIMENERANG
DIST-13D6F48E46F9,32.76,KOTA DEPOK,32.76.07,CIPAYUNG,all_three_different,1,1,16442,13840,16437,32.76.07.1001,CIPAYUNG
DIST-7C49E1DCC1B7,32.76,KOTA DEPOK,32.76.11,BOJONGSARI,all_three_different,1,1,40354,53362,16516,32.76.11.1001,BOJONGSARI
DIST-AAA5B36940DC,32.79,KOTA BANJAR,32.79.01,BANJAR,all_three_different,1,1,46314,42252,46313,32.79.01.2004,CIBEUREUM
